id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
81,CPMK32,ST144,Media Interaktif,6,2,mahasiswa mampu membuat produk digital.,CPMK32,
82,CPMK33,ST144,Media Interaktif,6,2,mahasiswa mampu menerapkan prinsip prinsip multimedia pada produk digital,CPMK33,
83,CPMK34,ST144,Media Interaktif,6,2,mahasiswa mampu menyelesaikan masalah di masyarakat dengan produk digital,CPMK34,grouped
84,CPMK04,ST155,Digital Business,6,2,Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;,CPMK04,
85,CPMK07,ST155,Digital Business,6,2,Mahasiswa mengimplementasikan profesionalisme dalam menyesuaikan diri pada berbagai kegiatan secara simultan diberbagai kondisi:,CPMK07,
86,CPMK09,ST155,Digital Business,6,2,Mahasiswa mampu menerapkan ilmu pengetahuan bidang informatika untuk menyelesaikan masalah pada industri,CPMK09,
87,CPMK11,ST155,Digital Business,6,2,Mahasiswa mampu menghasilkan produk ekonomi kreatif digital dalam bidang informatika,CPMK11,grouped
88,CPMK08,ST165,Proyek Pemrograman,6,4,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
89,CPMK11,ST165,Proyek Pemrograman,6,4,Mahasiswa mampu menghasilkan produk ekonomi kreatif digital dalam bidang informatika,CPMK11,
90,CPMK16,ST165,Proyek Pemrograman,6,4,Mahasiswa mampu merancang perangkat lunak pada berbagai platform digital,CPMK16,
91,CPMK38,ST165,Proyek Pemrograman,6,4,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,grouped
92,CPMK09,ST166,Proyek Game,6,4,Mahasiswa mampu menerapkan ilmu pengetahuan bidang informatika untuk menyelesaikan masalah pada industri,CPMK09,
93,CPMK32,ST166,Proyek Game,6,4,mahasiswa mampu membuat produk digital.,CPMK32,
94,CPMK47,ST166,Proyek Game,6,4,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,grouped
95,CPMK08,ST167,Proyek Data Mining,6,4,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,
96,CPMK18,ST167,Proyek Data Mining,6,4,Mahasisiwa mampu menganalisis kebutuhan industri atau masyakarat,CPMK18,
97,CPMK21,ST167,Proyek Data Mining,6,4,Mahasiswa mampu menerapkan metode analisis data;,CPMK21,
98,CPMK22,ST167,Proyek Data Mining,6,4,Mahasiswa mampu menerapkan metode pengolahan data;,CPMK22,grouped
