id,cpmk,kode,matkul,semester,sks,deskripsi_cpmk,kode_cpmk,grouped
54,CPMK27,ST139,Pengantar Ilmu Komputer,1,2,Mahasiswa mampu menganalisis fungsi dari komponen yang berkaitan dengan jaringan komputer;,CPMK27,
55,CPMK29,ST139,Pengantar Ilmu Komputer,1,2,Mahasiswa mampu menjelaskan sistem komunikasi nirkabel;,CPMK29,
56,CPMK38,ST139,Pengantar Ilmu Komputer,1,2,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,
57,CPMK42,ST139,Pengantar Ilmu Komputer,1,2,Mahasiswa mampu menjelaskan tentang metodologi dalam membangun jaringan komputer,CPMK42,grouped
58,CPMK04,ST138,Fotografi,1,2,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
59,CPMK05,ST138,Fotografi,1,2,"Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;
",CPMK05,
60,CPMK14,ST138,Fotografi,1,2,Mahasiswa mampu mempublikasikan hasil karya yang telah diciptakan,CPMK14,grouped
61,CPMK07,ST137,Kalkulus,1,2,Mahasiswa mengimplementasikan profesionalisme dalam menyesuaikan diri pada berbagai kegiatan secara simultan diberbagai kondisi:,CPMK07,
62,CPMK22,ST137,Kalkulus,1,2,Mahasiswa mampu menerapkan metode pengolahan data;,CPMK22,grouped
63,CPMK28,ST132,Infrastruktur Web & Internet,5,2,Mahasiswa mampu mengkonfigurasi sistem jaringan komputer sesuai kebutuhan pengguna,CPMK28,
64,CPMK30,ST132,Infrastruktur Web & Internet,5,2,Mahasiswa mampu menerapkan konsep keamanan jaringan sesuai kebutuhan pengguna,CPMK30,
65,CPMK43,ST132,Infrastruktur Web & Internet,5,2,Mahasiswa mampu mengidentifikasi komponen dan perangkat yang dibutuhkan untuk membangun jaringan komputer,CPMK43,grouped
66,CPMK24,ST127,Jaringan Komputer III,5,4,Mahasiswa mampu menerapkan metodologi pengembangan sistem jaringan komputer;,CPMK24,
67,CPMK26,ST127,Jaringan Komputer III,5,4,Mahasiswa mampu menguasai prinsip dasar sistem jaringan komputer;,CPMK26,
68,CPMK44,ST127,Jaringan Komputer III,5,4,Mahasiswa mampu menguraikan konsep jaringan komputer sesuai kebutuhan pengguna,CPMK44,grouped
69,CPMK15,ST122,Pemrograman Lanjut,3,4,Mahasiswa mampu menganalisis perangkat lunak pada berbagai platform digital,CPMK15,
70,CPMK16,ST122,Pemrograman Lanjut,3,4,Mahasiswa mampu merancang perangkat lunak pada berbagai platform digital,CPMK16,
71,CPMK38,ST122,Pemrograman Lanjut,3,4,Mahasiswa mampu menganalisis platform yang sesuai untuk kebutuhan industri atau masyarakat,CPMK38,grouped
72,CPMK03,ST120,Bahasa Indonesia,5,2,Mahasiswa memiliki sikap tanggung jawab dengan membangun integritas profesional yang berkomitmen terhadap nilai-nilai etika;,CPMK03,
73,CPMK08,ST120,Bahasa Indonesia,5,2,Mahasiswa mampu menyampaikan pandangan atau gagasan yang kritis dan profesional dalam menyelesaikan masalah pada industri,CPMK08,grouped
74,CPMK05,ST108,E-Commerce,5,2,"Mahasiswa membangun integritas dengan cara menjalin kerja sama dalam tim untuk menyelesaikan pekerjaan;
",CPMK05,
75,CPMK40,ST108,E-Commerce,5,2,Mahasiswa mampu menerapkan teknik analisis data,CPMK40,
76,CPMK41,ST108,E-Commerce,5,2,Mahasiswa mampu menerapkan teknik pengolahan data untuk menyelesaikan masalah,CPMK41,grouped
77,CPMK32,ST101,Perancangan Film Kartun,5,4,mahasiswa mampu membuat produk digital.,CPMK32,
78,CPMK47,ST101,Perancangan Film Kartun,5,4,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,grouped
79,CPMK04,ST095,Multimedia,3,2,"Mahasiswa mengamalkan sikap mental positif  melalui komunikasi lisan dan tulisan yang berkaitan dengan aspek teknis maupun non-teknis;

",CPMK04,
80,CPMK32,ST095,Multimedia,3,2,mahasiswa mampu membuat produk digital.,CPMK32,
81,CPMK34,ST095,Multimedia,3,2,mahasiswa mampu menyelesaikan masalah di masyarakat dengan produk digital,CPMK34,
82,CPMK47,ST095,Multimedia,3,2,Mahasiswa mampu menjelaskan jenis-jenis produk digital,CPMK47,grouped
83,CPMK15,ST094,Organisasi & Arsitektur Komputer,3,2,Mahasiswa mampu menganalisis perangkat lunak pada berbagai platform digital,CPMK15,
84,CPMK40,ST094,Organisasi & Arsitektur Komputer,3,2,Mahasiswa mampu menerapkan teknik analisis data,CPMK40,grouped
85,CPMK19,ST081,Logika Informatika,1,2,Mahasiswa mampu menerapkan teknik akuisisi data;,CPMK19,
86,CPMK20,ST081,Logika Informatika,1,2,Mahasasiswa mampu mengoptimalisasi teknik akuisisi data;,CPMK20,grouped
